do_jump_id,command,command_name,latitude,longitude,altitude_m,speed_mps,spray_on
223,16,WAYPOINT_SPRAY,54.1756264707,12.3163004976,10.0,3.5,False
224,16,WAYPOINT_TURN,54.1756143584,12.31630163,10.0,3.5,False
225,16,WAYPOINT_SPRAY,54.1756102111,12.3161156278,10.0,3.5,False
226,16,WAYPOINT_TURN,54.1755979357,12.3161094462,10.0,3.5,False
227,16,WAYPOINT_SPRAY,54.1756022461,12.3163027624,10.0,3.5,False
228,16,WAYPOINT_TURN,54.1755901338,12.3163038948,10.0,3.5,False
229,16,WAYPOINT_SPRAY,54.1755856604,12.3161032647,10.0,3.5,False
230,16,WAYPOINT_TURN,54.175573385,12.3160970831,10.0,3.5,False
231,16,WAYPOINT_SPRAY,54.1755780216,12.3163050272,10.0,3.5,False
232,16,WAYPOINT_TURN,54.1755659093,12.3163061596,10.0,3.5,False
233,16,WAYPOINT_SPRAY,54.175561141,12.3160923084,10.0,3.5,False
234,16,WAYPOINT_TURN,54.1755490543,12.3160945887,10.0,3.5,False
235,16,WAYPOINT_SPRAY,54.1755536999,12.3163029376,10.0,3.5,False
236,16,WAYPOINT_TURN,54.1755413957,12.3162954587,10.0,3.5,False
237,16,WAYPOINT_SPRAY,54.1755369677,12.3160968691,10.0,3.5,False
238,16,WAYPOINT_TURN,54.175524881,12.3160991495,10.0,3.5,False
239,16,WAYPOINT_SPRAY,54.1755290914,12.3162879798,10.0,3.5,False
240,16,WAYPOINT_TURN,54.1755167871,12.3162805009,10.0,3.5,False
241,16,WAYPOINT_SPRAY,54.1755127943,12.3161014299,10.0,3.5,False
242,16,WAYPOINT_TURN,54.1755007076,12.3161037103,10.0,3.5,False
243,16,WAYPOINT_SPRAY,54.1755046256,12.3162794267,10.0,3.5,False
244,16,WAYPOINT_TURN,54.1754925848,12.3162837615,10.0,3.5,False
245,16,WAYPOINT_SPRAY,54.175488621,12.3161059907,10.0,3.5,False
246,16,WAYPOINT_TURN,54.1754765343,12.3161082711,10.0,3.5,False
247,16,WAYPOINT_SPRAY,54.1754805439,12.3162880962,10.0,3.5,False
248,16,WAYPOINT_TURN,54.175468503,12.3162924309,10.0,3.5,False
249,16,WAYPOINT_SPRAY,54.1754644476,12.3161105514,10.0,3.5,False
250,16,WAYPOINT_TURN,54.1754523609,12.3161128318,10.0,3.5,False
251,16,WAYPOINT_SPRAY,54.1754564622,12.3162967657,10.0,3.5,False
252,16,WAYPOINT_TURN,54.1754444213,12.3163011004,10.0,3.5,False
253,16,WAYPOINT_SPRAY,54.1754402901,12.3161158199,10.0,3.5,False
254,16,WAYPOINT_TURN,54.1754283293,12.316123747,10.0,3.5,False
255,16,WAYPOINT_SPRAY,54.1754323804,12.3163054351,10.0,3.5,False
256,16,WAYPOINT_TURN,54.1754203395,12.3163097698,10.0,3.5,False
257,16,WAYPOINT_SPRAY,54.1754163685,12.316131674,10.0,3.5,False
258,16,WAYPOINT_TURN,54.1754044078,12.316139601,10.0,3.5,False
259,16,WAYPOINT_SPRAY,54.1754082987,12.3163141045,10.0,3.5,False
260,16,WAYPOINT_TURN,54.1753962578,12.3163184393,10.0,3.5,False
261,16,WAYPOINT_SPRAY,54.175392447,12.316147528,10.0,3.5,False
262,16,WAYPOINT_TURN,54.1753804862,12.316155455,10.0,3.5,False
263,16,WAYPOINT_SPRAY,54.1753842169,12.316322774,10.0,3.5,False
264,16,WAYPOINT_TURN,54.175372176,12.3163271087,10.0,3.5,False
265,16,WAYPOINT_SPRAY,54.1753683185,12.3161540993,10.0,3.5,False
266,16,WAYPOINT_TURN,54.1753560905,12.3161500423,10.0,3.5,False
267,16,WAYPOINT_SPRAY,54.1753601352,12.3163314434,10.0,3.5,False
268,16,WAYPOINT_TURN,54.1753480943,12.3163357781,10.0,3.5,False
269,16,WAYPOINT_SPRAY,54.1753438625,12.3161459854,10.0,3.5,False
270,16,WAYPOINT_TURN,54.1753316345,12.3161419284,10.0,3.5,False
271,16,WAYPOINT_SPRAY,54.1753360534,12.3163401128,10.0,3.5,False
272,16,WAYPOINT_TURN,54.1753237632,12.316333263,10.0,3.5,False
273,16,WAYPOINT_SPRAY,54.1753196999,12.3161510286,10.0,3.5,False
274,16,WAYPOINT_TURN,54.1753080084,12.3161710325,10.0,3.5,False
